Jahr;Datum;Fortschreibung;Melderegister
1987;31. Dez 87;1594190;1641023
1988;31. Dez 88;1603070;1647399
1989;31. Dez 89;1626220;1669599
1990;31. Dez 90;1652363;1692680
1991;31. Dez 91;1668757;1701144
1992;31. Dez 92;1688785;1712034
1993;31. Dez 93;1702887;1719281
1994;31. Dez 94;1705872;1716993
1995;31. Dez 95;1707901;1715789
1996;31. Dez 96;1707986;1707247
1997;31. Dez 97;1704731;1703588
1998;31. Dez 98;1700089;1691654
1999;31. Dez 99;1704735;1696065
2000;31. Dez 00;1715392;1704929
2001;31. Dez 01;1726363;1710932
2002;31. Dez 02;1728806;1712413
2003;31. Dez 03;1734083;1714923
2004;31. Dez 04;1734830;1715225
2005;31. Dez 05;1743627;1720632
2006;31. Dez 06;1754182;1732503
2007;31. Dez 07;1770629;1741182
2008;31. Dez 08;1772100;1735663
2009;31. Dez 09;1774224;1733260
2010;31. Dez 10;1786448;1746813
2011;31. Dez 11;1718187;1760017
2012;31. Dez 12;1734272;1775659
2013;31. Dez 13;1746342;
2014;31. Dez 14;1762791;
2015;31. Dez 15;1787408;
2016;31. Dez 16;1810438;1860759
2017;31. Dez 17;1830584;1880997
2018;31. Dez 18;1841179;
2019;31. Dez 19;1847253;1899160
2020;31. Dez 20;1852478;1904444
